Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,56858,172.217.27.163,443,13,8869,6,3083,7,5786,68.631576805,0.375120497000012,65749.5396739124,123395.016721783
10.61.81.49,57113,172.217.166.3,443,30,11619,14,5773,16,5846,68.631754658,23.888141279,1933.34422551328,1957.79150222599
10.61.81.49,37784,172.217.166.206,443,14,10261,7,4475,7,5786,68.631887982,0.400379855000011,89415.0880792916,115610.212207102
10.61.81.49,49031,192.168.108.121,53,2,188,1,86,1,102,68.865879787,0.111851872000003,6150.99226948999,7295.36292427883
10.61.81.49,49448,172.217.167.14,443,22,11122,10,5598,12,5524,68.978574946,15.785814889,2836.9773948893,2799.47537144846
10.61.81.49,46326,192.168.108.121,53,4,470,2,177,2,293,69.637705712,0.042441988000007,33363.1874171341,55228.327193335
10.61.81.49,56986,192.168.108.121,53,4,462,2,173,2,289,69.638032022,0.042163107999997,32824.9046536157,54834.6673115315
10.61.81.49,48918,192.168.108.121,53,4,470,2,177,2,293,69.638270721,0.041916305000001,33781.6036027024,55920.9596361118
10.61.81.49,41602,192.168.108.121,53,1,90,1,90,0,0,72.000705742,0,0,0
10.61.81.49,46834,192.168.108.121,53,2,226,1,81,1,145,72.881577875,0.094512678000001,6856.22303496673,12273.4856798787
10.61.81.49,49355,192.168.108.122,53,2,220,1,90,1,130,72.881753231,0.076410523999996,9422.78579322443,13610.6905902131
10.61.81.49,35155,192.168.108.122,53,2,262,1,99,1,163,72.882296796,0.093813803999993,8442.25440426722,13899.8734130864
10.61.81.49,50581,216.58.200.174,443,25,14361,13,7023,12,7338,72.960075877,3.984231166,14101.591413534,14734.0848344742
10.61.81.49,49300,192.168.108.122,53,2,250,1,95,1,155,72.97931976,0.205232257000006,3703.12158093149,6041.93521099349
10.61.81.49,36549,192.168.108.122,53,2,250,1,95,1,155,72.979588707,0.20501483999999,3707.04871900999,6048.34264680577
10.61.81.49,55401,192.168.108.122,53,2,274,1,94,1,180,72.979864772,0.204726488999995,3673.1934576381,7033.77470611551
10.61.81.49,45871,172.217.166.232,443,46,37441,18,5486,28,31955,73.188865632,3.7054897,11844.0485747403,68989.5319368989
10.61.81.49,34000,192.168.108.122,53,2,220,1,90,1,130,76.835996312,0.048459611999988,14857.7334874283,21461.1705929519
10.61.81.49,52661,192.168.108.122,53,2,220,1,90,1,130,77.47352914,0.162807487000009,4422.40104105261,6387.91261485377
10.61.81.49,49524,172.217.166.238,443,41,16305,18,6559,23,9746,77.502292187,15.134605242,3467.02138317986,5151.63750578913
10.61.81.49,33127,74.125.24.157,443,19,12658,9,5030,10,7628,78.872432206,1.561437423,25771.1256354331,39081.9376435555
10.61.81.49,49123,91.189.89.199,123,3,270,2,180,1,90,84.711405408,32.467565497,44.3519548804192,22.1759774402096
10.61.81.49,50649,192.168.108.122,53,2,188,1,86,1,102,91.646553641,0.288280735000001,2386.56252905696,2830.57416236988
10.61.81.49,49147,216.58.196.195,443,176,157006,119,140630,57,16376,122.475209095,31.255413588,35995.0444051056,4191.52988109229
10.61.81.49,50372,216.58.200.174,443,53,38207,28,19852,25,18355,122.63600123,10.303861787,15413.2502243355,14250.9675532782
10.61.81.49,41946,192.168.108.122,53,2,215,1,88,1,127,165.712439151,0.215885649,3260.98563411224,4706.1951765029
10.61.81.49,43513,192.168.108.122,53,2,226,1,81,1,145,166.285532553,0.110622634000009,5857.75240173676,10486.0999784177
10.61.81.49,58617,192.168.108.122,53,4,523,2,199,2,324,166.285815404,135.167662217,11.7779650390356,19.176184284661
10.61.81.49,41053,172.217.166.232,443,15,7683,8,3237,7,4446,166.287167657,0.915686866000016,28280.4099977116,38842.9727679412
10.61.81.49,53713,192.168.108.122,53,2,224,1,104,1,120,166.288609846,0.241373945999982,3446.93374652815,3977.23124599402
10.61.81.49,50291,239.255.255.250,1900,4,856,4,856,0,0,182.681561004,3.00301343999999,2280.37607450735,0
10.61.81.49,53672,192.168.108.122,53,2,228,1,91,1,137,192.867084323,0.368680025000003,1974.61199586279,2972.76751025497
10.61.81.49,40837,192.168.108.122,53,2,178,1,81,1,97,192.869732535,0.70681345700001,916.790694323172,1097.88515246108
10.61.81.49,35477,172.217.160.227,443,26,14245,12,4832,14,9413,193.236914535,2.751040878,14051.408799168,27372.9120502004
10.61.81.49,48773,172.217.166.238,443,28,17597,14,7272,14,10325,193.57747696,2.38437140299999,24398.8834653878,34642.2540951773
10.61.81.49,58457,216.58.200.174,443,25,18619,11,7865,14,10754,195.029366791,2.13470328700001,29474.8222777247,40301.6196789131
10.61.81.49,54695,192.168.108.122,53,2,192,1,88,1,104,195.212839754,0.738415127000024,953.393253006823,1126.73748082625
10.61.81.49,42459,172.217.166.238,443,15,7633,7,3642,8,3991,195.443465156,1.085847839,26832.4888198264,29403.7514771903
10.61.81.49,54266,216.58.207.195,443,32,19931,15,5875,17,14056,195.956048143,2.89661027099999,16225.8625092061,38820.5486688342
